stage,control/thermal/pop endpoint,squared_norm,thermal_gradient,population_gradient
76957,previous/previous/previous,l2_squared,-1.2005881397226026,-0.004388250106562769
76957,previous/previous/previous,mass_squared,-0.0016216938843263704,0.0003103075847546744
76957,previous/previous/previous,max_cell_2_squared,0.005135551261015767,-0.007150577579330018
76957,previous/previous/final,l2_squared,-1.2005881397226026,-0.022801244594716885
76957,previous/previous/final,mass_squared,-0.0016216938843263704,0.00029453460077510463
76957,previous/previous/final,max_cell_2_squared,0.005135551261015767,-0.007337544672496922
76957,previous/final/previous,l2_squared,-1.194333369524951,-0.004388250106562769
76957,previous/final/previous,mass_squared,-0.0015840170158067204,0.0003103075847546744
76957,previous/final/previous,max_cell_2_squared,0.004943626466143117,-0.007150577579330018
76957,previous/final/final,l2_squared,-1.194333369524951,-0.022801244594716885
76957,previous/final/final,mass_squared,-0.0015840170158067204,0.00029453460077510463
76957,previous/final/final,max_cell_2_squared,0.004943626466143117,-0.007337544672496922
76957,final/previous/previous,l2_squared,-1.1943923334015192,0.0018125179416192856
76957,final/previous/previous,mass_squared,-0.0016280561670908213,0.00030512266562712976
76957,final/previous/previous,max_cell_2_squared,0.005249361128839933,-0.007037402416705319
76957,final/previous/final,l2_squared,-1.1943923334015192,-0.016507640119048515
76957,final/previous/final,mass_squared,-0.0016280561670908213,0.0002902069400395804
76957,final/previous/final,max_cell_2_squared,0.005249361128839933,-0.007224367933670448
76957,final/final/previous,l2_squared,-1.1880690816547277,0.0018125179416192856
76957,final/final/previous,mass_squared,-0.0015895434589925672,0.00030512266562712976
76957,final/final/previous,max_cell_2_squared,0.0050574379521107216,-0.007037402416705319
76957,final/final/final,l2_squared,-1.1880690816547277,-0.016507640119048515
76957,final/final/final,mass_squared,-0.0015895434589925672,0.0002902069400395804
76957,final/final/final,max_cell_2_squared,0.0050574379521107216,-0.007224367933670448
77126,previous/previous/previous,l2_squared,-1.1293646064588152,-0.08591843270205955
77126,previous/previous/previous,mass_squared,-0.0013712943653526068,0.00019888948296583106
77126,previous/previous/previous,max_cell_2_squared,0.004322340254964238,-0.007671683675358599
77126,previous/previous/final,l2_squared,-1.1293646064588152,-0.08338878431203797
77126,previous/previous/final,mass_squared,-0.0013712943653526068,0.00022166217151289836
77126,previous/previous/final,max_cell_2_squared,0.004322340254964238,-0.0076357472210163094
77126,previous/final/previous,l2_squared,-1.1355609340435304,-0.08591843270205955
77126,previous/final/previous,mass_squared,-0.0013588843964357754,0.00019888948296583106
77126,previous/final/previous,max_cell_2_squared,0.0043106780757592306,-0.007671683675358599
77126,previous/final/final,l2_squared,-1.1355609340435304,-0.08338878431203797
77126,previous/final/final,mass_squared,-0.0013588843964357754,0.00022166217151289836
77126,previous/final/final,max_cell_2_squared,0.0043106780757592306,-0.0076357472210163094
77126,final/previous/previous,l2_squared,-1.128175677062342,-0.08461558494701193
77126,final/previous/previous,mass_squared,-0.0013855232646788984,0.00018475330626218216
77126,final/previous/previous,max_cell_2_squared,0.00435001451818573,-0.007644164198424593
77126,final/previous/final,l2_squared,-1.128175677062342,-0.08203366420557531
77126,final/previous/final,mass_squared,-0.0013855232646788984,0.0002082413647484643
77126,final/previous/final,max_cell_2_squared,0.00435001451818573,-0.007608227817743713
77126,final/final/previous,l2_squared,-1.1343107492877522,-0.08461558494701193
77126,final/final/previous,mass_squared,-0.0013724032012999575,0.00018475330626218216
77126,final/final/previous,max_cell_2_squared,0.004338352362775896,-0.007644164198424593
77126,final/final/final,l2_squared,-1.1343107492877522,-0.08203366420557531
77126,final/final/final,mass_squared,-0.0013724032012999575,0.0002082413647484643
77126,final/final/final,max_cell_2_squared,0.004338352362775896,-0.007608227817743713
