cell,case,thermal,HII/HI,HeII/HeI,HeIII/HeI,norm,trial_T_K,response_T_K
1,control,2.491190931138828,0.49225430792363234,0.034232239123706876,0.9291932351841503,2.704240831280588,32807.68421122634,396173.39992214326
1,thermal04,2.4773589590639205,0.49440508395143645,0.03535807776602873,0.9923461389623804,2.7143590131499096,33128.45380329967,394551.4895575265
1,thermal08,2.476481962280186,0.4939859748138904,0.03536133711460998,0.9923493997971173,2.713483519067728,33128.45380329967,394205.6208503811
1,population04,2.4895895153181407,0.4917578952668098,0.03423638274049168,0.9271063442478356,2.7019585647798148,32807.68405551105,395539.46748148516
1,population08,2.490210159676124,0.4919447797514156,0.03423696836366297,0.9271069298425183,2.7025646588090377,32807.68405551105,395785.0330108088
2,control,2.548830926639667,0.4431021293770261,0.04170508562636144,0.7903572602839872,2.7054172511285555,35214.542221401985,450467.9684484818
2,thermal04,2.5336735306896507,0.4451902372487151,0.043066874496876295,0.8446285342028517,2.707941658146925,35566.842673451705,448130.2714244449
2,thermal08,2.5325619668677284,0.4447443941888096,0.04306952482005322,0.8446311868819671,2.706829236950343,35566.842673451705,447632.4227751633
2,population04,2.5471537205277457,0.4426626164192058,0.041709267769187264,0.7888040398317417,2.7033116254413128,35214.54191795539,449713.0702608231
2,population08,2.547875123281891,0.4428465061244804,0.04170973180800175,0.7888045038487073,2.7040216195224605,35214.54191795539,450037.61155070097
