         2295918 function calls (2246763 primitive calls) in 1294.091 seconds

   Ordered by: cumulative time
   List reduced from 2701 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.200    0.200 1290.380 1290.380 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b7j_second_assembled_feedback.py:124(run_worker)
        1    0.672    0.672  679.035  679.035 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:185(_context)
        1    0.000    0.000  521.512  521.512 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:86(_load_material)
       23    0.000    0.000  493.124   21.440 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py:239(__getitem__)
       23  492.989   21.434  493.121   21.440 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/lib/_format_impl.py:780(read_array)
        3    0.120    0.040  300.732  100.244 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:383(ground_state_milne_multigroup)
        1   19.237   19.237  245.779  245.779 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b7f_assembled_diagnostics.py:194(assembled_block_diagnostics)
        4   23.842    5.960  228.762   57.191 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:323(_lorentz_remap_group_density)
        3   96.520   32.173  194.953   64.984 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:286(ground_state_milne_continuum)
       40  178.311    4.458  185.540    4.638 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:395(_piecewise_constant_overlap_integral_columns)
        1  156.437  156.437  156.471  156.471 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:107(_full_column)
        2   17.972    8.986  139.909   69.955 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:933(comoving_group_radiation)
        2    0.014    0.007  121.106   60.553 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:833(lorentz_remap_group_intensity)
     1332   98.050    0.074   98.050    0.074 {built-in method numpy.array}
        2    0.022    0.011   62.122   31.061 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b7e_radiation_direction.py:122(_local_fields)
        3   61.133   20.378   61.248   20.416 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:428(ground_state_milne_radiative_rates)
        1    0.011    0.011   56.263   56.263 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:916(lorentz_remap_comoving_group_extinction_to_lab)
       54    0.000    0.000   56.198    1.041 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/continuum_emission.py:424(<genexpr>)
        1    0.010    0.010   51.429   51.429 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/mixed_frame_frequency.py:881(lorentz_remap_comoving_group_emissivity_to_lab)
       80    0.001    0.000   43.889    0.549 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/font_manager.py:1269(addfont)
       19    0.001    0.000   42.000    2.211 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/font_manager.py:552(_get_font_alt_names)
       19    0.005    0.000   41.753    2.198 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/matplotlib/font_manager.py:424(ttfFontProperty)
        3    0.010    0.003   39.087   13.029 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:298(_group_continuum)
       69   38.260    0.554   38.281    0.555 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/radiation.py:16(planck_nu)
       93   37.527    0.404   37.636    0.405 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:153(group_average_from_quadrature_nodes)
       27    0.000    0.000   37.511    1.389 /home/scc/pb24511938/eccentric-tde-observer/src/eccentric_tde_observer/multigroup_continuum.py:304(average)
      403    0.001    0.000   21.483    0.053 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:48(_wrapfunc)
        1    0.014    0.014   19.846   19.846 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b7j_second_assembled_feedback.py:99(_fill_global_halo)
      437   19.256    0.044   19.256    0.044 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.178    0.089   15.545    7.773 /home/scc/pb24511938/eccentric-tde-observer/scripts/phase7b5x_full_depth_block_probe.py:162(_parent_boosted_planck_outer)
       13    0.000    0.000   14.291    1.099 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:437(repeat)
       13   14.291    1.099   14.291    1.099 {method 'repeat' of 'numpy.ndarray' objects}
     2038    8.698    0.004    8.698    0.004 {method 'reduce' of 'numpy.ufunc' objects}
      186    0.001    0.000    8.585    0.046 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
      137    0.001    0.000    8.552    0.062 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2342(sum)
      384    0.000    0.000    7.158    0.019 /home/scc/pb24511938/eccentric-tde-observer/.venv-hpc/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1459(searchsorted)
